1;Los geht´s!;C´est parti!;2022-11-29;Kl. 7|C´est parti!
2;Hallo!|Tschüss!;Salut!;2022-11-29;Kl. 7|C´est parti!
3;Wie heißt du?;Tu t´appelles comment?;2022-11-29;Kl. 7|C´est parti!
4;ich heiße;je m´appelle;2022-11-29;Kl. 7|C´est parti!
5;Und du?|Und dir?;Et toi?;2022-11-29;Kl. 7|C´est parti!
6;und;et;2022-11-29;Kl. 7|C´est parti!
7;du;toi;2022-11-29;Kl. 7|C´est parti!
8;Bis später!;À plus!;2022-11-29;Kl. 7|C´est parti!
9;Wie geht´s?|Geht´s dir gut?;Ca va?;2022-11-29;Kl. 7|C´est parti!
10;Naja.|Geht so.;bof;2022-11-29;Kl. 7|C´est parti!
11;Woher kommst du?;Tu es d´où?;2023-01-14;Kl. 7|Unité 1|Volet 2
12;Es geht mir gut.;Ca va.;2022-11-29;Kl. 7|C´est parti!
13;super|toll;super;2022-11-29;Kl. 7|C´est parti!
14;ach|ach so;ah;2022-11-29;Kl. 7|C´est parti!
15;Es klingelt!;Ca sonne!;2022-11-29;Kl. 7|C´est parti!
16;Bis morgen!;À demain!;2022-11-29;Kl. 7|C´est parti!
17;Guten Tag!|Guten Morgen!;Bonjour!;2022-11-29;Kl. 7|C´est parti!
18;die Klasse;la classe;2022-11-29;Kl. 7|C´est parti!
19;Frau;Madame;2022-11-29;Kl. 7|C´est parti!
20;Herr;Monsieur;2022-11-29;Kl. 7|C´est parti!
21;Auf Wiedersehen!;Au revoir!;2022-11-29;Kl. 7|C´est parti!
22;Wie alt bist du?;Tu as quel âge?;2022-11-29;Kl. 7|C´est parti!
23;ich bin ... Jahre alt;j´ai ... ans;2022-11-29;Kl. 7|C´est parti!
24;Wo wohnst du ?;Tu habites où?;2022-11-29;Kl. 7|C´est parti!
25;in;en;2022-11-29;Kl. 7|C´est parti!
26;in;à;2022-11-29;Kl. 7|C´est parti!
27;Deutschland;l´Allemagne;2022-11-29;Kl. 7|C´est parti!
28;Frankreich;la France;2022-11-29;Kl. 7|C´est parti!
29;Paris;Paris;2022-11-29;Kl. 7|C´est parti!
30;null;zéro;2022-11-29;Kl. 7|Les nombres de 0 à 20
31;eins;un;2022-11-29;Kl. 7|Les nombres de 0 à 20
32;zwei;deux;2022-11-29;Kl. 7|Les nombres de 0 à 20
33;drei;trois;2022-11-29;Kl. 7|Les nombres de 0 à 20
34;vier;quatre;2022-11-29;Kl. 7|Les nombres de 0 à 20
35;fünf;cinq;2022-11-29;Kl. 7|Les nombres de 0 à 20
36;sechs;six;2022-11-29;Kl. 7|Les nombres de 0 à 20
37;sieben;sept;2022-11-29;Kl. 7|Les nombres de 0 à 20
38;acht;huit;2022-11-29;Kl. 7|Les nombres de 0 à 20
39;neun;neuf;2022-11-29;Kl. 7|Les nombres de 0 à 20
40;zehn;dix;2022-11-29;Kl. 7|Les nombres de 0 à 20
41;elf;onze;2022-11-29;Kl. 7|Les nombres de 0 à 20
42;zwölf;douze;2022-11-29;Kl. 7|Les nombres de 0 à 20
43;dreizehn;treize;2022-11-29;Kl. 7|Les nombres de 0 à 20
44;vierzehn;quatorze;2022-11-29;Kl. 7|Les nombres de 0 à 20
45;fünfzehn;quinze;2022-11-29;Kl. 7|Les nombres de 0 à 20
46;sechzehn;seize;2022-11-29;Kl. 7|Les nombres de 0 à 20
47;siebzehn;dix-sept;2022-11-29;Kl. 7|Les nombres de 0 à 20
48;achtzehn;dix-huit;2022-11-29;Kl. 7|Les nombres de 0 à 20
49;neunzehn;dix-neuf;2022-11-29;Kl. 7|Les nombres de 0 à 20
50;zwanzig;vingt;2022-11-29;Kl. 7|Les nombres de 0 à 20
51;ich;moi;2022-11-29;Kl. 7|C´est parti!
52;ich mag;j´aime;2022-11-29;Kl. 7|C´est parti!
53;ich mag ... nicht|ich mag keine|ich mag keinen;je n´aime pas;2022-11-29;Kl. 7|C´est parti!
54;aber;mais;2022-11-29;Kl. 7|C´est parti!
55;die Videospiele;les jeux vidéo;2022-11-29;Kl. 7|C´est parti!
56;das Einkaufen|das Shoppen;le shopping;2022-11-29;Kl. 7|C´est parti!
57;der Sport;le sport;2022-11-29;Kl. 7|C´est parti!
58;die Musik;la musique;2022-11-29;Kl. 7|C´est parti!
59;die Natur;la nature;2022-11-29;Kl. 7|C´est parti!
60;die Schokolade;le chocolat;2022-11-29;Kl. 7|C´est parti!
61;die Spaghetti;les spaghettis;2022-11-29;Kl. 7|C´est parti!
62;die Pizza;la pizza;2022-11-29;Kl. 7|C´est parti!
63;die Tomaten;les tomates;2022-11-29;Kl. 7|C´est parti!
64;der Salat;la salade;2022-11-29;Kl. 7|C´est parti!
65;gelb;le jaune;2022-11-29;Kl. 7|C´est parti!
66;rot;le rouge;2022-11-29;Kl. 7|C´est parti!
67;blau;le bleu;2022-11-29;Kl. 7|C´est parti!
68;grün;le vert;2022-11-29;Kl. 7|C´est parti!
69;schwarz;le noir;2022-11-29;Kl. 7|C´est parti!
70;die Katzen;les chats;2022-11-29;Kl. 7|C´est parti!
71;die Hunde;les chiens;2022-11-29;Kl. 7|C´est parti!
72;die Ratten;les rats;2022-11-29;Kl. 7|C´est parti!
73;die Fische;les poissons;2022-11-29;Kl. 7|C´est parti!
74;die Schildkröten;les tortues;2022-11-29;Kl. 7|C´est parti!
75;Magst du ...?;Tu aimes ...?;2022-11-29;Kl. 7|C´est parti!
76;ja;oui;2022-11-29;Kl. 7|C´est parti!
77;nein;non;2022-11-29;Kl. 7|C´est parti!
78;oder;ou;2022-11-29;Kl. 7|C´est parti!
79;Willkommen!;Bienvenue!;2022-11-29;Kl. 7|Unité 1
80;die Stadt;la ville;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
81;das Kino;le cinéma;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
82;der Park;le parc;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
83;das Theater;le théâtre;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
84;das Café|der Kaffee;le café;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
85;das Restaurant;le restaurant;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
86;das Hotel;l´hôtel;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
87;das Museum;le musée;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
88;die U-Bahn|die Metro;le métro;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
89;der Turm;la tour;2022-11-30;Kl. 7|Unité 1|Vocabulaire thématique
